Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Daniel Moisés Guillén Moreno,Atlético San Luis,Liga MX,2024/2025,848,Right Centre Back,Mexico,04/08/01,0.11,0.11,0.04,0.08,0.53,20,40,0,,0.08,0,0,0,0,0,0,0,0,0,0.11,0.04,0.53,0.06,0.11,0,0.11,0,0.85,0,0.64,0.21,1.17,1.4,3.93,4.36,10.08,5.52,0.11,4.88,25.32,1.38,8.91,1.59,2.76,83,2.04,3.44,0.85,70,0.32,68,2.02,0,7.64,8.95,2.76,1.91,0.53,29.48,1.17,15,0.64,33,0.32,0,0,44.67,84,2.97,12,61,4.88,3.93,11,56,-28,35.1,2.87,0.22,0.22,36.5,98,5.12,2.55,0.11,0.11,0,0,1.06,1.17,0,0,0,0,0,28,69,3,42,58,0,22.2,24.04,0.95,87,1.85,21.16,20.81,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,9,1.74,15,0,0.04,-0.04,0.02,,0.02
Daniel Álvarez,Puebla,Liga MX,2024/2025,642,Left Wing,Mexico,21/07/94,0,0,0.09,0.06,1.68,0,33,3,,0.08,0,0.08,1.12,0,0.08,1.12,0,0,0,0,0.17,2.81,-0.17,3.79,1.82,1.96,48,0.98,0,1.12,3.65,0.14,0.18,1.12,0.64,16.27,7.71,0,3.37,47.59,2.66,5.75,1.4,1.54,59,1.16,1.34,0.98,45,0.98,43,1.26,0,13.89,9.58,2.1,2.38,0,48.63,5.89,42,1.96,82,0.14,0,0,22.44,66,0.84,12,40,1.26,1.96,24,66,0,64.48,3.23,0.2,0.29,25.11,83,6.51,8.84,0.56,0.28,0.28,0.14,2.66,2.95,0,50,0.56,18,0.42,17,64,19,10,65,25,17.57,12.5,0.96,114,-5.07,16.81,14.24,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,13,3.86,27,-0.03,0.1,0.02,-0.06,,0.03
Darío Benedetto,Querétaro,Liga MX,2024/2025,480,Left Centre Forward,Argentina,16/05/90,0,0,0.22,0.06,3.57,0,26,6,,0.06,0,0.13,1.5,0,0.12,1.31,0,0,0.19,0,0.35,5.07,-0.35,0.56,0.56,0,100,1.13,0,0.56,3.57,0.56,0.25,0.94,0.73,6.57,2.44,0,1.13,61.51,2.06,2.25,0.19,0.75,100,0.3,0.55,0.75,,0,53,1.88,0,5.63,4.54,0.75,0.38,0.19,67.83,4.5,80,0.38,100,0,0,0,15.95,67,1.69,13,50,1.13,3.19,15,50,-17,59.78,2.06,0.15,0.56,13.33,82,5.69,4.88,0.56,0.56,0,0.38,7.51,8.07,0,0,0.19,20,0.38,13,70,18,19,77,4,22.73,17.95,0.94,78,-4.79,21.27,14.01,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,7,3.27,23,-0.03,-0.01,0.05,-0.13,,-0.13
David Ramírez,León,Liga MX,2024/2025,1476,Right Back,Mexico,13/12/95,0,0,0.03,0.08,0.37,0,33,0,,0.01,0.12,0.04,1.04,0.12,0.04,1.04,0,0,0,0.12,0.07,1.4,0.05,0.55,0.43,0.12,78,1.28,0,0.73,1.22,0.43,0.34,1.95,1.63,15.19,7.93,0.02,3.48,37.44,2.32,6.4,2.07,2.5,72,1.93,2.27,0.55,54,0.79,65,0.67,0.06,12.81,11.36,2.44,1.52,0,40.69,4.21,33,0.73,48,0.06,0,0,34.89,91,3.23,11,77,2.56,3.6,16,85,-6,49.48,3.48,0.21,0.26,32.2,95,5.3,8.23,0.73,0.73,0,0.06,0.79,1.52,0.06,50,0.37,38,0,16,72,12,19,69,13,20.55,19.11,0.97,103,-1.44,19.97,19.61,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,8,3.9,29,0.04,0.05,0.04,-0.01,,0.11
David Rodríguez Uribe,Atlético San Luis,Liga MX,2024/2025,43,Right Wing,USA,04/05/02,0,0,0.08,0.04,2.11,0,0,2,,0,0,0.05,2.11,0,0.05,2.11,0,0,0,0,0.12,4.23,-0.12,8.45,6.34,2.11,75,4.23,0,4.23,4.23,0,0,0,0,16.9,8.45,0,4.23,45.2,6.34,10.56,2.11,2.11,100,2.19,2.19,0,,0,,0,0,14.79,20.45,2.11,4.23,0,51.27,10.56,71,4.23,100,0,0,0,40.14,86,2.11,100,100,0,2.11,9,100,14,63.42,2.11,0.28,0.36,59.15,86,7.41,21.13,2.11,0,2.11,0,0,0,0,100,2.11,100,0,18,64,18,10,80,10,17.37,10.04,0.97,100,-7.33,16.86,10.04,0,0,0,0,0,,0,0,,0,0,0,0,0,0,9,0,5.28,45,-0.22,0.32,0.02,-0.09,,0.02
Denilson Velázquez,Puebla,Liga MX,2024/2025,49,Right Centre Midfielder,Mexico,08/07/05,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40.45,22.06,0,3.68,43.68,3.68,9.19,0,0,,0,0,0,,0,,0,0,40.45,17.46,3.68,5.52,0,45.54,16.55,41,3.68,67,0,0,0,18.39,100,1.84,30,100,1.84,0,30,100,0,51.84,1.84,0,0,14.71,100,4.1,7.35,0,0,0,0,0,0,0,,0,,0,10,70,20,0,100,0,17.53,24.71,1,100,7.19,17.53,24.71,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,30,,,-0.01,0.03,0.01,,,0.03
Denzell Arturo García Bojorquez,Juárez,Liga MX,2024/2025,1798,Right Back,Mexico,14/08/03,0,0,0.02,0.02,0.95,0,21,1,,0.01,0.05,0.03,0.65,0,0.02,0.6,0.05,0.01,0.05,0.05,0.04,1.6,0.01,1.45,0.9,0.55,62,0.85,0,1.2,1.45,2.1,1.81,2.15,1.92,22.58,12.87,0.03,6.21,38.24,5.51,11.91,3,5.11,65,2.68,4.49,1.05,50,1.6,60,1.3,0.1,18.52,16.31,3.65,3.7,0.45,41.23,6.61,36,2.3,62,0.1,0,0,37.15,83,3.9,19,72,3,4.61,16,78,-5,48.78,5.81,0.23,0.24,32.59,92,5,8.31,0.75,0.5,0.25,0.05,0.2,0.7,0.05,7,0.1,15,0.05,23,67,10,23,70,6,21.1,18.72,0.97,106,-2.38,20.4,19.8,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,14,3.97,33,0.07,0.07,0.07,-0.02,,0.19
Diber Armando Cambindo Abonia,Necaxa,Liga MX,2024/2025,2569,Centre Forward,Colombia,16/02/96,0.56,0.56,0.39,0.12,3.22,17,42,9,,0.44,0,0.04,0.67,0,0.04,0.67,0,0,0,0.56,0.43,3.89,0.13,1.79,0.7,1.09,39,0.81,0,2.1,4.97,0.14,0.11,0.7,0.51,19.76,8.41,0.01,2.63,63.6,2.94,3.96,0.53,0.67,88,0.24,0.35,2.24,67,0.07,43,2.14,0.04,16.99,11.83,2.31,2.45,0.18,65.87,13.49,79,2.31,94,0.18,0,0,11.63,65,0.18,13,38,0.81,0.35,36,57,-8,65.48,1.09,0.34,0.6,15.41,61,5.97,4.06,0.18,0.18,0,0.18,5.85,6.03,0.04,20,0.04,25,0.56,13,63,24,7,70,23,13.83,13.61,0.95,87,-0.22,13.17,11.87,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,9,2.62,16,-0.07,-0.02,0.01,0.07,,-0.01
Diego Abitia,Atlético San Luis,Liga MX,2024/2025,377,Centre Forward,Mexico,15/04/03,0,0,0.12,0.1,1.19,0,20,1,,0,0,0.01,0.24,0,0.01,0.24,0,0,0,0,0.12,1.43,-0.12,0.96,0.48,0.48,50,2.15,0.24,2.15,3.34,0.48,0.48,0.96,1.32,31.78,16.96,0,2.63,68.44,1.43,1.91,0.48,0.96,40,0.67,1.14,2.39,50,0.72,33,1.19,0,28.91,35.13,2.15,4.54,0.48,70.41,24.13,83,4.06,89,0.48,0,0,15.05,77,0.24,25,50,0.96,0.48,34,71,-7,58.62,0.72,0.11,0.37,18.16,80,5.89,3.82,0.24,0.24,0,0,4.54,4.78,0,0,0,0,0.24,3,65,32,0,69,31,14.76,12.56,0.97,109,-2.2,14.25,13.66,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,14,2.7,17,-0.11,0.14,0.02,-0.15,,-0.11
Diego Araujo,Querétaro,Liga MX,2024/2025,124,Centre Defensive Midfielder,Mexico,17/02/03,0,0,0.01,0.01,0.72,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0.01,0.72,-0.01,0,0,0,,1.45,0,0.72,0.72,2.17,0.47,1.45,0.31,34.06,18.84,0.04,7.25,36.26,2.9,7.25,4.35,6.52,86,3.92,4.39,0.72,0,0.72,33,0.72,0,28.99,15.23,5.8,7.25,0,39.09,6.52,23,4.35,60,0,0,0,33.34,85,2.9,95,67,1.45,4.35,21,90,5,45.86,2.17,0,0.01,27.54,95,3.7,3.62,0,0,0,0,0,0,0,,0,,0,28,68,4,20,80,0,22.4,17.99,0.95,91,-4.41,21.33,16.42,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,11,0.72,23,0,0.05,0.11,-0.02,,0.14
Diego Barbosa,Tijuana,Liga MX,2024/2025,375,Right Back,Mexico,24/09/96,0,0,0,0.01,0.24,0,100,0,,0,0.24,0.12,0.24,0.24,0.12,0.24,0,0,0,0.24,0.12,0.48,0.12,2.64,1.44,1.2,55,1.2,0,0.96,2.64,1.2,1.87,2.16,3.4,20.18,11.53,0.02,5.52,37.69,3.12,8.89,3.6,4.8,68,5.64,7.51,1.68,69,1.68,17,0.24,0,14.89,22.87,3.84,3.12,0.24,38.63,3.84,26,0.96,31,0,0,0,31.95,84,0.72,20,38,2.16,1.92,16,77,-7,50.07,2.88,0.63,0.63,32.43,90,5.56,6.97,0.24,0.24,0,0.48,0.96,1.2,0,0,0,0,0.24,22,65,13,3,83,14,17.96,14.36,0.95,109,-3.6,16.99,15.68,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,14,4.52,25,0.02,0.09,0.02,-0.01,,0.13
Diego Barbosa,Toluca,Liga MX,2024/2025,1652,Right Back,Mexico,24/09/96,0,0,0.02,0.04,0.44,0,0,1,,0,0.05,0.07,0.54,0.05,0.07,0.54,0,0,0,0.05,0.09,0.98,-0.03,1.63,0.87,0.76,53,0.6,0,0.93,1.58,1.31,1.42,1.91,1.89,25.98,14.93,0.01,6.59,33,2.78,7.41,4.36,5.67,81,4.39,5.81,1.96,66,1.04,43,0.71,0,19.67,18.13,5.12,2.78,0.38,35.01,4.36,22,1.31,47,0.16,0,0,32.9,78,2.51,22,51,2.45,4.36,12,65,-13,47.25,3.21,0.31,0.36,31.16,92,4.06,6.32,0.65,0.54,0.11,0.11,0.82,1.36,0,50,0.38,33,0.16,25,62,13,19,63,18,20.65,18.27,0.92,91,-2.38,19.08,16.61,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,15,4.6,28,0.09,0.06,0.05,-0.03,,0.17
Diego Campillo Del Campo,Juárez,Liga MX,2024/2025,2551,Left Defensive Midfielder,Mexico,18/10/01,0.04,0.04,0.02,0.03,0.74,5,24,1,,0.02,0,0.04,0.88,0,0.04,0.85,0,0,0.04,0.04,0.06,1.62,-0.03,1.02,0.49,0.53,48,1.34,0,1.02,1.31,1.59,1.33,1.76,1.52,16.97,9.46,0.02,3.81,39.81,4.45,9.81,1.27,2.86,58,1.06,2.4,1.09,38,0.92,65,0.78,0.11,14.61,12.32,2.54,3.14,0.32,42.87,5.22,36,1.69,54,0.18,0,0,36.45,84,3.35,11,65,2.36,4.55,19,77,-7,48.95,5.08,0.26,0.28,31.23,93,5.91,7.76,0.53,0.49,0.04,0.04,0.71,1.2,0.04,27,0.21,35,0.11,18,74,8,22,74,5,21.28,18.57,0.96,99,-2.71,20.39,18.38,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,7,4.57,36,0.03,0.05,0.03,-0.01,,0.1
Diego Delgadillo,Guadalajara,Liga MX,2024/2025,20,Right Centre Back,Mexico,20/01/04,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4.55,3.92,0,0,0,0,0,0,13.47,0,0,0,4.55,,0,3.92,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,4.55,0,0,,,0,0,0,,,,0,0,0,4.55,100,9.73,0,0,0,0,0,0,0,0,,0,,0,100,0,0,,,,27.74,,,,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,-0.05,0.02,0.17,,,0.14
Diego García,América,Liga MX,2024/2025,168,Left Attacking Midfielder,Mexico,29/04/04,0,0,0.35,0.13,2.69,0,20,4,,0,0,0.04,1.07,0,0.04,1.07,0,0,0,0,0.4,3.76,-0.4,3.76,2.15,1.61,57,1.07,0,1.07,4.84,0.54,0.78,0,0,26.33,11.28,0,4.84,59.77,1.61,3.22,0,0.54,0,0,0.78,1.07,0,1.07,100,0.54,0,25.25,21.52,3.76,3.76,0.54,59.35,16.66,66,3.76,100,0.54,0,0,15.04,71,0.54,37,100,0,0.54,21,67,-5,71.9,1.61,0.58,0.83,19.88,76,4.62,8.6,0,0,0,0,5.37,5.37,0.54,,0,0,1.07,21,71,7,13,81,6,12.63,5.8,1.1,138,-6.82,13.88,8,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,7,3.55,20,-0.04,-0.02,0,-0.29,,-0.35
Diego Gómez,Necaxa,Liga MX,2024/2025,554,Right Defensive Midfielder,Mexico,09/09/03,0,0,0,0.02,0.16,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.65,0.16,0.49,25,0.81,0,0.81,1.14,1.46,0.75,1.79,0.66,26.32,15.11,0,4.39,35.73,2.44,8.61,2.44,3.9,71,1.51,2.27,0.81,62,0.97,29,0.32,0,23.07,12.43,3.9,3.09,0.32,36.99,5.2,23,1.3,42,0,0,0,23.72,82,1.14,19,47,2.27,1.95,16,65,-17,47.39,1.95,0.18,0.18,17.55,91,4.18,3.57,0.16,0.16,0,0,0.32,0.49,0,0,0,,0.16,18,72,10,18,73,9,18.46,16.97,0.91,82,-1.49,16.86,13.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,11,1.84,17,-0.01,0.01,0.1,-0.01,,0.1
Diego Hernández,León,Liga MX,2024/2025,896,Left Wing,Uruguay,21/06/00,0.2,0.2,0.1,0.05,2.01,10,40,3,,0.16,0.2,0.19,2.11,0.2,0.1,1.1,0,0.1,1,0.4,0.29,4.12,0.11,2.41,1,1.41,42,1.51,0,2.01,3.71,0.3,0.19,0.4,0.31,21.28,10.14,0.01,3.41,48.86,2.11,5.62,1.41,1.71,64,1.01,1.2,2.51,42,0.8,38,0.5,0,17.37,14.86,2.91,2.71,0.1,49.39,8.53,49,2.21,81,0.3,0,0,26,71,3.11,86,49,1,5.72,16,73,2,65.32,3.92,0.23,0.36,30.72,83,5.23,9.24,3.01,1.41,1.61,0.1,0.8,2.21,0.1,27,1,33,0.1,13,70,17,13,63,24,22.83,19.41,0.89,100,-3.42,20.4,19.44,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,4,6.62,48,0.19,0.07,0.01,-0.03,,0.23
Diego Hiram Ramírez Martínez,Tigres UANL,Liga MX,2024/2025,3,Centre Forward,Mexico,14/01/07,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.96,0,0,0,0,0,0,0,51.92,25.96,,0,61.27,0,0,0,0,,0,0,25.96,,0,0,0,0,25.96,24.54,0,0,0,61.27,25.96,100,0,,0,0,0,25.96,0,0,,,0,0,0,,,,0,0,0,25.96,100,1.42,0,0,0,0,0,0,0,0,,0,,0,100,0,0,,,,5.2,,,,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,0,-0.17,,,-0.17
Diego Lainez,Tigres UANL,Liga MX,2024/2025,2284,Right Wing,Mexico,08/06/00,0.08,0.08,0.09,0.07,1.3,6,21,2,,0.11,0.24,0.16,1.69,0.2,0.14,1.38,0.04,0.03,0.32,0.32,0.26,2.99,0.06,2.44,1.18,1.26,48,2.01,0.04,1.5,3.19,0.71,0.63,0.63,0.57,20.21,9.65,0,4.33,47.31,3.59,6.58,2.17,2.88,74,2.21,2.84,1.46,54,0.75,36,0.39,0,16.59,16.91,2.92,3.27,0.28,48.49,8.2,49,2.68,82,0.24,0.04,0,29.47,75,1.02,85,43,0.79,2.21,20,72,-3,62.24,3.9,0.38,0.47,32.27,87,6.4,12.06,1.69,1.26,0.43,0.39,2.6,3.86,0,40,0.95,37,0.55,18,64,17,19,61,19,16.85,13.34,0.94,102,-3.52,15.9,13.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,9,5.95,38,0.09,0.13,0.04,0.01,,0.27
Diego Luis González Alcaráz,Atlas,Liga MX,2024/2025,914,Left Attacking Midfielder,Paraguay,06/01/03,0.1,0.1,0.07,0.04,1.77,6,22,3,,0.12,0.3,0.2,1.67,0.2,0.12,0.89,0.1,0.08,0.79,0.39,0.27,3.45,0.12,2.86,1.08,1.77,38,2.07,0,1.48,3.84,0.3,0.27,0.69,0.64,23.53,10.93,0.01,3.84,50.54,4.82,7.88,2.46,2.76,81,2.09,2.36,1.28,45,0.59,27,0.3,0,19.89,16.85,3.15,3.45,0.3,50.46,10.04,50,2.66,77,0.49,0,0,23.04,63,1.48,86,25,1.08,5.51,18,70,7,58.34,4.23,0.34,0.4,27.47,81,6.57,6.6,1.77,0.79,0.98,0.1,2.46,3.25,0.3,28,0.49,29,0.3,17,72,11,22,70,7,21.25,16.3,0.84,107,-4.95,17.82,17.36,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,9,7.45,42,0.11,0.07,0.02,-0.03,,0.17
Diego Medina,Santos Laguna,Liga MX,2024/2025,628,Right Wing,Mexico,11/03/01,0,0,0.04,0.04,1,0,43,1,,0.03,0,0.05,0.43,0,0.05,0.43,0,0,0,0,0.09,1.43,-0.09,5.16,2.58,2.58,50,1.86,0,2.15,5.3,0.57,0.55,0.72,0.69,22.64,9.89,0.03,4.16,42.91,2.44,6.3,1.72,2.29,50,1.68,2.23,1,31,1.72,57,1.15,0,19.92,17.13,3.15,4.01,0,44.77,8.6,43,3.44,86,0.14,0,0,27.8,76,1.29,9,64,1,1.72,23,60,-16,55.05,3.58,0.34,0.36,34.67,80,6.49,8.02,1,1,0,0.14,1.72,2.72,0.14,57,0.72,33,0.14,21,64,15,21,61,18,16.66,13.64,0.97,104,-3.02,16.11,14.12,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,17,2.91,24,0.13,0.1,0.05,-0.02,,0.26
Diego Ochoa,Guadalajara,Liga MX,2024/2025,50,Right Back,Mexico,19/04/05,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1.79,0,0,0,0,14.29,7.14,0,3.57,41.14,0,0,1.79,1.79,100,1.74,1.74,1.79,100,0,0,0,0,10.71,10.46,3.57,0,0,43.27,3.57,33,0,,1.79,0,0,39.29,77,12.5,12,88,5.36,8.93,16,80,3,48.99,3.57,0,0,37.5,95,5.24,7.14,0,0,0,0,1.79,1.79,1.79,,0,,0,19,71,10,25,25,50,23.47,32.09,1.03,96,8.62,24.25,30.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,16,0.18,2,-0.01,-0.03,0.02,,,-0.02
Diego Reyes,Tigres UANL,Liga MX,2024/2025,1398,Right Centre Back,Mexico,18/09/92,0,0,0.04,0.07,0.58,0,22,0,,0.03,0,0.01,0.26,0,0.01,0.26,0,0,0,0,0.04,0.84,-0.04,0.13,0.06,0.06,50,0.26,0,0.13,0.26,0.9,1.01,3.67,3.74,10.23,5.02,0.06,4.18,28.62,1.22,7.34,0.97,1.87,88,1.11,2.12,1.09,0,0.13,59,2.64,0,8.17,8.51,2.51,1.09,0.13,33.97,2.19,27,0.71,65,0.13,0,0,41.26,90,2.64,10,61,4.18,3.8,10,69,-21,36.62,2.38,0.31,0.37,31.73,99,4.45,3.09,0.13,0.13,0,0,1.67,1.8,0,0,0,0,0.06,23,74,3,33,63,4,22.25,20.85,0.95,84,-1.41,21.12,17.57,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,7,2.56,14,0.03,0.03,0.1,-0.04,,0.11
Diego Reyes,América,Liga MX,2024/2025,15,Left Wing,Mexico,02/09/07,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,12.31,0,0,0,0,18.47,0,0,0,0,36.94,12.31,0,6.16,49.89,0,0,6.16,6.16,100,9.61,9.61,12.31,100,0,,0,0,24.63,37.53,6.16,12.31,0,56.97,18.47,75,12.31,100,6.16,0,0,6.16,100,0,100,,0,0,100,100,0,80.53,0,0,0,24.63,25,5.64,6.16,0,0,0,0,0,0,0,,0,,0,0,0,100,0,0,100,7.13,7.13,1,100,0,7.13,7.13,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,-0.01,-0.13,-0.05,,,-0.19
Diego Sánchez,Tigres UANL,Liga MX,2024/2025,244,Left Wing,Mexico,11/04/05,0,0,0.03,0.03,0.74,0,0,1,,0,0.37,0.16,1.85,0.37,0.16,1.85,0,0,0,0.37,0.18,2.59,0.19,1.48,0.74,0.74,50,1.85,0,3.69,4.43,1.11,0.62,0.37,0.25,27.33,11.45,0,4.8,49.08,4.06,7.39,2.59,3.69,100,1.55,2.17,0.74,100,0,0,0,0,24,17.78,3.69,5.54,0.74,48.82,11.82,49,5.17,93,0,0,0,30.28,76,0.74,8,67,0.74,0.74,20,65,-11,64.04,2.59,0.71,0.78,34.35,81,5.63,12.93,1.11,1.11,0,0.74,2.59,3.69,0,0,0,0,1.11,11,64,25,9,60,31,13.21,11.3,0.96,134,-1.91,12.69,15.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,6,5.47,31,0,0.15,0.03,-0.03,,0.15
Diego Valdés,América,Liga MX,2024/2025,1253,Centre Attacking Midfielder,Chile,29/01/94,0,0,0.15,0.06,2.37,0,24,2,,0.07,0.22,0.4,3.02,0.22,0.29,1.87,0,0.1,1.15,0.22,0.55,5.38,-0.33,2.08,0.93,1.15,45,1.79,0,1.65,2.66,0.14,0.22,0.36,0.45,12.56,6.82,0,2.15,59.5,3.37,4.45,0.57,0.72,62,0.83,1.05,1.08,29,0.36,35,0.65,0,10.91,15.04,1.87,2.15,0.22,61.62,7.68,70,1.79,83,0,0,0,46.24,80,4.52,15,59,0.93,7.04,20,78,-2,61.38,7.18,0.52,0.71,45.16,91,5.16,19.1,3.66,2.23,1.44,0.72,5.17,7.4,0.5,20,0.93,42,1.01,13,77,10,19,76,5,20.55,16.82,0.95,97,-3.73,19.53,16.38,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,7,9.39,59,0.2,0.07,0.01,-0.1,,0.18
Diego Valoyes,Juárez,Liga MX,2024/2025,729,Right Wing,Colombia,21/09/96,0.12,0.12,0.24,0.11,2.22,6,17,3,,0.18,0.12,0.13,0.99,0.12,0.13,0.99,0,0,0,0.25,0.37,3.21,-0.12,3.09,1.11,1.98,36,1.85,0,2.59,4.94,0,0,0.37,0.26,19.38,8.89,0.01,2.35,48.96,2.96,5.56,2.35,2.35,76,1.93,1.93,1.73,50,0.74,40,0.74,0,15.31,11.38,1.85,2.1,0.12,49.2,6.3,41,1.36,65,0.12,0,0,22.59,67,0.86,17,33,0.62,2.35,18,67,-1,61.65,2.84,0.3,0.51,29.13,78,7.34,7.53,0.62,0.62,0,0.62,4.69,5.31,0.12,60,0.99,32,0.86,18,69,12,16,72,11,19,15.65,0.86,93,-3.35,16.4,14.5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,13,3.73,25,0.02,0.11,0.03,-0.06,,0.1
Diego de Buen,Necaxa,Liga MX,2024/2025,905,Right Defensive Midfielder,Mexico,02/07/91,0.1,0.1,0.03,0.04,0.7,14,29,1,,0.04,0,0.02,0.3,0,0.02,0.3,0,0,0,0.1,0.04,0.99,0.06,0.2,0.1,0.1,50,0,0,0.4,0.3,1.19,1.02,2.58,2.13,15.01,8.65,0.01,3.48,35.39,4.27,9.34,0.8,1.99,80,0.82,1.84,0.8,71,0.2,58,1.39,0.1,13.42,12.91,2.58,2.49,0.2,39.27,4.37,33,1.49,60,0.3,0,0,28.53,79,2.68,22,53,3.58,4.08,11,74,-5,43.19,2.88,0.31,0.33,20.08,97,3.66,3.88,0.4,0.4,0,0,0.8,1.19,0.2,50,0.2,67,0,32,60,8,41,59,0,22.11,26.08,0.89,93,3.97,19.73,24.18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,13,2.88,19,0.16,0.06,0.04,-0.01,,0.24
Diego de Buen,Puebla,Liga MX,2024/2025,1603,Right Defensive Midfielder,Mexico,02/07/91,0.06,0.06,0.09,0.09,0.95,6,35,2,,0.1,0,0.01,0.39,0,0.01,0.39,0,0,0,0.06,0.1,1.35,-0.04,0.28,0.06,0.22,20,0.56,0,0.39,0.9,1.24,0.61,3.2,1.71,19.32,11.51,0.04,5.22,35.44,2.47,7.58,1.91,3.14,69,0.99,1.6,0.95,48,0.84,56,1.63,0.06,16.51,7.43,3.26,2.25,0.39,40.02,4.94,30,1.18,53,0.11,0,0,27.29,79,2.36,19,49,3.54,4.44,15,72,-7,44.8,2.58,0.22,0.3,20.05,94,3.01,3.48,0.22,0.22,0,0,1.18,1.4,0,0,0,0,0.06,26,66,7,27,66,6,22.32,18.4,0.88,101,-3.92,19.61,18.51,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,3.52,26,0.06,0.02,0.01,0.01,,0.1
